Team,Conf,Adjusted Tempo,Raw,Average Possession Length Offense,Average Possession Length Defense,Adjusted Off. Efficiency,Raw,Adjusted Def. Efficiency,Raw
UCF,B12,72,72.7,15.7,17.5,115.4,107.4,105.1,108.7
UCLA,B10,64.8,66.6,18,18.2,116.4,112,94.9,97.8
UMass Lowell,AE,69,69.6,17.3,17.3,109.3,109.6,115.1,108.9
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
Team,Conf,Adjusted,Raw,Offense,Defense,Adjusted,Raw,Adjusted,Raw
UMBC,AE,70.7,70.9,15.2,18.7,107,107.5,118.2,111.8
UNC Asheville,BSth,68.5,70.2,17.7,16.4,109.9,111.1,112.7,112.1
UNC Greensboro,SC,64,64.7,18.9,18,108.5,109.6,105.7,104.2
UNC Wilmington,CAA,65.7,66.4,18.4,17.5,113.1,114.8,108,104.6
UNLV,MWC,65.8,66,17.8,18.4,108.2,105.5,100.4,103
USC,B10,68.5,69.4,17.6,17.3,116.6,109.8,104.1,108.1
USC Upstate,BSth,72.8,73.5,15.5,17,99.4,99.2,116.3,116.5
UT Arlington,WAC,67.8,68.5,16.9,18.2,107.5,105.4,111.9,108
UT Rio Grande Valley,Slnd,70.6,70.8,16.3,17.4,104.6,104.6,110.9,108.3
Utah,B12,68.7,68.9,16.8,17.9,113.5,109.1,101.9,103.5
Utah St.,MWC,68.1,67.8,16.4,18.9,120.9,118.2,106.2,105.6
Utah Tech,WAC,67.4,68.4,17.6,17.4,103.1,100.1,114.4,112.2
Utah Valley,WAC,68,68.7,17.1,17.8,106.4,107.3,102.9,100.1
UTEP,CUSA,68.7,68.9,17.1,17.6,106,103,105.1,102.9
UTSA,Amer,70.2,69.9,16.5,17.7,107.1,105.2,111.3,111.5
Valparaiso,MVC,68.4,68.3,16.6,18.5,106.8,105.9,112.6,111.1
Vanderbilt,SEC,69.3,69.9,16.6,17.8,119.8,114.5,102,105.5
VCU,A10,66.4,66.8,17.1,18.6,116.9,115.9,95.6,93.1
Vermont,AE,62.4,64.1,19.4,17.8,100.2,101.4,105.4,101.8
Villanova,BE,63.1,63.7,19.4,18,119.6,116.7,104.5,105.8
Virginia,ACC,61.2,61.4,20.4,18.7,111.7,105.9,105.6,108.2
Virginia Tech,ACC,65.3,66.2,18.6,17.7,108.4,105.3,106.8,109.3
VMI,SC,68.4,68.5,17.7,17.1,100.7,100.8,111.8,111.1
Wagner,NEC,60.3,60.3,20.8,18.8,93.1,94.3,111.4,103.3
Wake Forest,ACC,67.2,67.8,18,17.4,109.1,104.8,98.5,100.5
Washington,B10,68.1,68.8,17.7,17.3,109.9,103.9,103.9,108.9
Washington St.,WCC,70.3,71.3,16.1,17.7,111.7,109.3,108.1,109.6
Weber St.,BSky,65.7,65.8,18.7,17.6,101.9,102.7,113.5,112.6
West Georgia,ASun,68.2,68.9,18,17,97.3,98.4,115.6,114.5
West Virginia,B12,64.3,65,18.8,18.1,110,102.9,94.5,97.9
Western Carolina,SC,70.8,71.2,17.1,16.6,95.8,93.5,113.1,112.7
Western Illinois,OVC,64.4,65.1,18.9,17.8,99.4,101.1,117.7,111.5
Western Kentucky,CUSA,72.3,73.3,15.2,17.4,104.4,100.8,102.5,101.6
Western Michigan,MAC,68,69.6,18,16.5,101.5,103.4,113.1,111.6
Wichita St.,Amer,68.7,69.3,16.6,17.6,107.7,106.1,104.8,104.6
William & Mary,CAA,71.2,70.7,14.9,18.9,108.6,108.6,112.8,110
Winthrop,BSth,72.8,73.9,15.5,17,109,110.1,109.8,107.3
Wisconsin,B10,67.3,68.7,17.7,17.4,125,118.7,98,102.3
Wofford,SC,64.3,64.8,19.2,17.6,112.1,110.8,109.4,108.5
Wright St.,Horz,67.7,68.3,17.1,17.9,109.4,110.2,113.8,111
Wyoming,MWC,65,65.4,19.7,16.9,104.6,101,106.1,108.5
Xavier,BE,69.1,69.4,16.4,18.1,114.8,110.7,98.2,100.4
Yale,Ivy,67.9,69.4,17.4,17.1,115.8,118.2,104.7,102.1
Youngstown St.,Horz,69.6,70.2,17.3,17.3,102.9,104.9,106.3,102.9
,,,,,,,,,
