Team,Conf,Adjusted Tempo,Raw,Average Possession Length Offense,Average Possession Length Defense,Adjusted Off. Efficiency,Raw,Adjusted Def. Efficiency,Raw
East Tennessee St.,SC,65.3,65.7,18.3,18.1,107.8,109.9,105.1,102.6
East Texas A&M,Slnd,67.4,67.9,18.2,17,96.9,94.6,112.4,110.8
Eastern Illinois,OVC,66.2,67,18.1,17.6,94,94.3,107.5,104
Eastern Kentucky,ASun,68,68.2,17.5,17.5,109.9,110.8,110.9,109.5
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
Team,Conf,Adjusted,Raw,Offense,Defense,Adjusted,Raw,Adjusted,Raw
Eastern Michigan,MAC,67.2,68.1,17.5,17.8,103.8,106,114.6,111.7
Eastern Washington,BSky,67.3,68,17.3,18,102.7,103,113,112.5
Elon,CAA,65.2,65.5,19.4,17.4,107.2,108.4,109.1,106
Evansville,MVC,66.8,66.9,18.2,17.4,99.8,98.3,107,107.2
Fairfield,MAAC,65.5,65.7,17.6,18.7,100.2,101.1,116.3,111.1
Fairleigh Dickinson,NEC,69.5,68.8,16.7,18.1,98.4,101.1,111.9,107.4
FIU,CUSA,69,69.5,16.6,17.8,97.8,97.2,105.1,104.1
Florida,SEC,69.4,70.3,16.3,17.8,126.8,119.1,92.8,95.7
Florida A&M,SWAC,67.4,68.6,18,17.1,100.5,99.4,113.9,110.8
Florida Atlantic,Amer,69.3,70,16.1,18,113.7,110.9,109.4,109.1
Florida Gulf Coast,ASun,65.4,65.7,18.1,18.3,109.1,110.5,109,106.4
Florida St.,ACC,70,70.7,16.1,17.8,110,106.1,101.6,103.7
Fordham,A10,69.9,70.2,17.2,16.8,106.4,103,111.5,110
Fresno St.,MWC,70.9,71.3,16.7,17,101,97.1,108.1,110.4
Furman,SC,66,66.5,18.2,17.6,108.2,109,106.9,104.2
Gardner Webb,BSth,69.2,70.1,17,17.3,104,104.9,112.2,111.9
George Mason,A10,64.6,65.1,18.7,18.2,105.3,104.9,95.8,95.1
