GAME-ID,Teams
401469621,"['Queens University Royals', 'Jacksonville State Gamecocks']"
401469622,"['North Florida Ospreys', 'Lipscomb Bisons']"
401469623,"['North Alabama Lions', 'Bellarmine Knights']"
401469624,"['Jacksonville Dolphins', 'Austin Peay Governors']"
401469625,"['Liberty Flames', 'Kennesaw State Owls']"
401469626,"['Jacksonville Dolphins', 'Lipscomb Bisons']"
401469627,"['North Alabama Lions', 'Eastern Kentucky Colonels']"
401469628,"['Stetson Hatters', 'Florida Gulf Coast Eagles']"
401469629,"['Central Arkansas Bears', 'Bellarmine Knights']"
401469630,"['Queens University Royals', 'Kennesaw State Owls']"
401469631,"['Liberty Flames', 'Jacksonville State Gamecocks']"
401469632,"['North Florida Ospreys', 'Austin Peay Governors']"
401469633,"['Kennesaw State Owls', 'North Alabama Lions']"
401469634,"['Lipscomb Bisons', 'Florida Gulf Coast Eagles']"
401469635,"['Eastern Kentucky Colonels', 'North Florida Ospreys']"
401469636,"['Austin Peay Governors', 'Stetson Hatters']"
401469637,"['Liberty Flames', 'Queens University Royals']"
401469638,"['Bellarmine Knights', 'Jacksonville Dolphins']"
401469639,"['Jacksonville State Gamecocks', 'Central Arkansas Bears']"
401469640,"['Jacksonville State Gamecocks', 'North Alabama Lions']"
401469641,"['Lipscomb Bisons', 'Stetson Hatters']"
401469642,"['Austin Peay Governors', 'Florida Gulf Coast Eagles']"
401469643,"['Queens University Royals', 'Liberty Flames']"
401469644,"['Eastern Kentucky Colonels', 'Jacksonville Dolphins']"
401469645,"['Bellarmine Knights', 'North Florida Ospreys']"
401469646,"['Kennesaw State Owls', 'Central Arkansas Bears']"
401469647,"['Eastern Washington Eagles', 'Montana Grizzlies']"
401469648,"['Idaho Vandals', 'Montana State Bobcats']"
401469649,"['Northern Arizona Lumberjacks', 'Idaho State Bengals']"
401469650,"['Northern Colorado Bears', 'Weber State Wildcats']"
401469651,"['Eastern Washington Eagles', 'Montana State Bobcats']"
401469652,"['Idaho Vandals', 'Montana Grizzlies']"
401469653,"['Northern Colorado Bears', 'Idaho State Bengals']"
401469654,"['Northern Arizona Lumberjacks', 'Weber State Wildcats']"
401469655,"['Portland State Vikings', 'Sacramento State Hornets']"
401469656,"['Portland State Vikings', 'Eastern Washington Eagles']"
401469657,"['Sacramento State Hornets', 'Idaho Vandals']"
401469658,"['Montana Grizzlies', 'Northern Arizona Lumberjacks']"
401469659,"['Montana State Bobcats', 'Northern Colorado Bears']"
401469660,"['Sacramento State Hornets', 'Eastern Washington Eagles']"
401469661,"['Portland State Vikings', 'Idaho Vandals']"
401469662,"['Idaho State Bengals', 'Weber State Wildcats']"
401469663,"['Montana Grizzlies', 'Northern Colorado Bears']"
401469664,"['Montana State Bobcats', 'Northern Arizona Lumberjacks']"
401469665,"['Idaho State Bengals', 'Montana State Bobcats']"
401469666,"['Weber State Wildcats', 'Montana Grizzlies']"
401469667,"['Northern Arizona Lumberjacks', 'Portland State Vikings']"
401469668,"['Northern Colorado Bears', 'Sacramento State Hornets']"
401469669,"['Idaho Vandals', 'Eastern Washington Eagles']"
401469670,"['Idaho State Bengals', 'Montana Grizzlies']"
401469671,"['Weber State Wildcats', 'Montana State Bobcats']"
401469672,"['Northern Arizona Lumberjacks', 'Sacramento State Hornets']"
401469673,"['Northern Colorado Bears', 'Portland State Vikings']"
401469674,"['Montana Grizzlies', 'Eastern Washington Eagles']"
401469675,"['Montana State Bobcats', 'Idaho Vandals']"
401469676,"['Eastern Washington Eagles', 'Northern Colorado Bears']"
401469677,"['Idaho Vandals', 'Northern Arizona Lumberjacks']"
401469678,"['Sacramento State Hornets', 'Idaho State Bengals']"
401469679,"['Portland State Vikings', 'Weber State Wildcats']"
401469680,"['Eastern Washington Eagles', 'Northern Arizona Lumberjacks']"
401469681,"['Idaho Vandals', 'Northern Colorado Bears']"
401469682,"['Portland State Vikings', 'Idaho State Bengals']"
401469683,"['Montana State Bobcats', 'Montana Grizzlies']"
401469684,"['Sacramento State Hornets', 'Weber State Wildcats']"
401469685,"['Idaho State Bengals', 'Eastern Washington Eagles']"
401469686,"['Weber State Wildcats', 'Idaho Vandals']"
401469687,"['Montana Grizzlies', 'Sacramento State Hornets']"
401469688,"['Montana State Bobcats', 'Portland State Vikings']"
401469689,"['Weber State Wildcats', 'Eastern Washington Eagles']"
401469690,"['Idaho State Bengals', 'Idaho Vandals']"
401469691,"['Montana Grizzlies', 'Portland State Vikings']"
401469692,"['Montana State Bobcats', 'Sacramento State Hornets']"
401469693,"['Northern Colorado Bears', 'Northern Arizona Lumberjacks']"
401469694,"['Eastern Washington Eagles', 'Sacramento State Hornets']"
401469695,"['Idaho Vandals', 'Portland State Vikings']"
401469696,"['Northern Colorado Bears', 'Montana Grizzlies']"
401469697,"['Northern Arizona Lumberjacks', 'Montana State Bobcats']"
401469698,"['Eastern Washington Eagles', 'Portland State Vikings']"
401469699,"['Idaho Vandals', 'Sacramento State Hornets']"
401469700,"['Weber State Wildcats', 'Idaho State Bengals']"
401469701,"['Northern Arizona Lumberjacks', 'Montana Grizzlies']"
401469702,"['Northern Colorado Bears', 'Montana State Bobcats']"
401469703,"['Idaho State Bengals', 'Northern Arizona Lumberjacks']"
401469704,"['Weber State Wildcats', 'Northern Colorado Bears']"
401469705,"['Montana Grizzlies', 'Idaho State Bengals']"
401469706,"['Montana State Bobcats', 'Weber State Wildcats']"
401469707,"['Sacramento State Hornets', 'Northern Arizona Lumberjacks']"
401469708,"['Portland State Vikings', 'Northern Colorado Bears']"
401469709,"['Eastern Washington Eagles', 'Idaho Vandals']"
401469710,"['Montana State Bobcats', 'Idaho State Bengals']"
401469711,"['Montana Grizzlies', 'Weber State Wildcats']"
401469712,"['Portland State Vikings', 'Northern Arizona Lumberjacks']"
401469713,"['Sacramento State Hornets', 'Northern Colorado Bears']"
401469714,"['Northern Arizona Lumberjacks', 'Eastern Washington Eagles']"
401469715,"['Northern Colorado Bears', 'Idaho Vandals']"
401469716,"['Idaho State Bengals', 'Portland State Vikings']"
401469717,"['Weber State Wildcats', 'Sacramento State Hornets']"
401469718,"['Northern Colorado Bears', 'Eastern Washington Eagles']"
401469719,"['Northern Arizona Lumberjacks', 'Idaho Vandals']"
401469720,"['Idaho State Bengals', 'Sacramento State Hornets']"
401469721,"['Montana Grizzlies', 'Montana State Bobcats']"
401469722,"['Weber State Wildcats', 'Portland State Vikings']"
401469723,"['Eastern Washington Eagles', 'Weber State Wildcats']"
401469724,"['Idaho Vandals', 'Idaho State Bengals']"
401469726,"['Sacramento State Hornets', 'Montana State Bobcats']"
401469727,"['Eastern Washington Eagles', 'Idaho State Bengals']"
401469728,"['Idaho Vandals', 'Weber State Wildcats']"
401469729,"['Sacramento State Hornets', 'Montana Grizzlies']"
401469730,"['Portland State Vikings', 'Montana State Bobcats']"
401469731,"['Northern Arizona Lumberjacks', 'Northern Colorado Bears']"
401469732,"['Montana State Bobcats', 'Eastern Washington Eagles']"
401469733,"['Montana Grizzlies', 'Idaho Vandals']"
401469734,"['Idaho State Bengals', 'Northern Colorado Bears']"
401469735,"['Weber State Wildcats', 'Northern Arizona Lumberjacks']"
401469736,"['Sacramento State Hornets', 'Portland State Vikings']"
401469741,"['UC Santa Barbara Gauchos', 'Cal State Fullerton Titans']"
401469742,"['UC Davis Aggies', ""Hawai'i Rainbow Warriors""]"
401469743,"['UC San Diego Tritons', 'Long Beach State Beach']"
401469744,"['Cal State Bakersfield Roadrunners', 'UC Riverside Highlanders']"
401469745,"['Cal State Northridge Matadors', 'Cal Poly Mustangs']"
401469746,"['UC Irvine Anteaters', 'Cal State Bakersfield Roadrunners']"
401469747,"['UC Riverside Highlanders', 'Long Beach State Beach']"
401469748,"['UC San Diego Tritons', 'UC Santa Barbara Gauchos']"
401469749,"['Cal Poly Mustangs', ""Hawai'i Rainbow Warriors""]"
401469750,"['Cal State Northridge Matadors', 'Cal State Fullerton Titans']"
401469751,"['UC Irvine Anteaters', 'UC Davis Aggies']"
401469752,"['Cal State Fullerton Titans', 'UC Riverside Highlanders']"
401469753,"[""Hawai'i Rainbow Warriors"", 'UC San Diego Tritons']"
401469754,"['Long Beach State Beach', 'Cal State Northridge Matadors']"
401469755,"['Cal Poly Mustangs', 'Cal State Bakersfield Roadrunners']"
401469756,"['UC Santa Barbara Gauchos', 'Cal Poly Mustangs']"
401469757,"[""Hawai'i Rainbow Warriors"", 'Cal State Fullerton Titans']"
401469758,"['Cal State Bakersfield Roadrunners', 'UC Davis Aggies']"
401469759,"['Long Beach State Beach', 'UC Irvine Anteaters']"
401469760,"['Cal State Northridge Matadors', 'UC Riverside Highlanders']"
401469761,"['UC Santa Barbara Gauchos', 'Cal State Bakersfield Roadrunners']"
401469762,"['UC Riverside Highlanders', 'UC San Diego Tritons']"
401469763,"['Cal State Fullerton Titans', 'UC Irvine Anteaters']"
401469764,"['UC Davis Aggies', 'Cal State Northridge Matadors']"
401469765,"['Cal Poly Mustangs', 'Long Beach State Beach']"
401469766,"['UC Irvine Anteaters', 'Cal State Northridge Matadors']"
401469767,"['UC Riverside Highlanders', 'UC Santa Barbara Gauchos']"
401469768,"['Cal State Fullerton Titans', 'UC Davis Aggies']"
401469769,"['UC San Diego Tritons', 'Cal State Bakersfield Roadrunners']"
401469770,"['Long Beach State Beach', ""Hawai'i Rainbow Warriors""]"
401469771,"['UC Santa Barbara Gauchos', 'UC Irvine Anteaters']"
401469772,"['UC Davis Aggies', 'UC San Diego Tritons']"
401469773,"['Cal State Bakersfield Roadrunners', 'Cal State Fullerton Titans']"
401469774,"['Cal Poly Mustangs', 'UC Riverside Highlanders']"
401469775,"['Cal State Northridge Matadors', ""Hawai'i Rainbow Warriors""]"
401469776,"['UC Riverside Highlanders', 'UC Davis Aggies']"
401469777,"['Cal State Fullerton Titans', 'Long Beach State Beach']"
401469778,"[""Hawai'i Rainbow Warriors"", 'UC Irvine Anteaters']"
401469779,"['UC San Diego Tritons', 'Cal Poly Mustangs']"
401469780,"['Cal State Northridge Matadors', 'UC Santa Barbara Gauchos']"
401469781,"['Cal State Fullerton Titans', 'Cal State Northridge Matadors']"
401469782,"[""Hawai'i Rainbow Warriors"", 'UC Riverside Highlanders']"
401469783,"['Cal State Bakersfield Roadrunners', 'UC Santa Barbara Gauchos']"
401469784,"['Long Beach State Beach', 'UC San Diego Tritons']"
401469785,"['Cal Poly Mustangs', 'UC Davis Aggies']"
401469786,"['UC Irvine Anteaters', 'Cal State Fullerton Titans']"
401469787,"['UC Santa Barbara Gauchos', ""Hawai'i Rainbow Warriors""]"
401469788,"['UC Davis Aggies', 'Cal State Bakersfield Roadrunners']"
401469789,"['UC San Diego Tritons', 'Cal State Northridge Matadors']"
401469790,"['Long Beach State Beach', 'Cal Poly Mustangs']"
401469791,"['Cal State Fullerton Titans', 'Cal Poly Mustangs']"
401469792,"['UC Davis Aggies', 'Long Beach State Beach']"
401469793,"['UC San Diego Tritons', 'UC Riverside Highlanders']"
401469794,"['Cal State Bakersfield Roadrunners', ""Hawai'i Rainbow Warriors""]"
401469795,"['Cal State Northridge Matadors', 'UC Irvine Anteaters']"
401469796,"['UC Irvine Anteaters', 'UC San Diego Tritons']"
401469797,"['UC Riverside Highlanders', 'Cal State Bakersfield Roadrunners']"
401469798,"[""Hawai'i Rainbow Warriors"", 'UC Davis Aggies']"
401469799,"['Long Beach State Beach', 'Cal State Fullerton Titans']"
401469800,"['Cal Poly Mustangs', 'UC Santa Barbara Gauchos']"
401469801,"['UC Irvine Anteaters', 'Long Beach State Beach']"
401469802,"['UC Santa Barbara Gauchos', 'Cal State Northridge Matadors']"
401469803,"['UC Riverside Highlanders', 'Cal State Fullerton Titans']"
401469804,"[""Hawai'i Rainbow Warriors"", 'Cal Poly Mustangs']"
401469805,"['Cal State Bakersfield Roadrunners', 'UC San Diego Tritons']"
401469806,"['UC Santa Barbara Gauchos', 'Long Beach State Beach']"
401469807,"['UC Davis Aggies', 'UC Riverside Highlanders']"
401469808,"['UC San Diego Tritons', ""Hawai'i Rainbow Warriors""]"
401469809,"['Cal Poly Mustangs', 'UC Irvine Anteaters']"
401469810,"['Cal State Northridge Matadors', 'Cal State Bakersfield Roadrunners']"
401469811,"['UC Riverside Highlanders', 'UC Irvine Anteaters']"
401469812,"['Cal State Fullerton Titans', ""Hawai'i Rainbow Warriors""]"
401469813,"['UC Davis Aggies', 'UC Santa Barbara Gauchos']"
401469814,"['Long Beach State Beach', 'Cal State Bakersfield Roadrunners']"
401469815,"['Cal Poly Mustangs', 'Cal State Northridge Matadors']"
401469816,"['UC Irvine Anteaters', 'UC Santa Barbara Gauchos']"
401469817,"['Cal State Fullerton Titans', 'UC San Diego Tritons']"
401469818,"['Cal State Bakersfield Roadrunners', 'Cal Poly Mustangs']"
401469819,"['Long Beach State Beach', 'UC Riverside Highlanders']"
401469820,"['Cal State Northridge Matadors', 'UC Davis Aggies']"
401469821,"['UC Santa Barbara Gauchos', 'UC Riverside Highlanders']"
401469822,"['UC Davis Aggies', 'UC Irvine Anteaters']"
401469823,"[""Hawai'i Rainbow Warriors"", 'Long Beach State Beach']"
401469824,"['Cal Poly Mustangs', 'Cal State Fullerton Titans']"
401469825,"['Cal State Northridge Matadors', 'UC San Diego Tritons']"
401469826,"['UC Irvine Anteaters', 'Cal Poly Mustangs']"
401469827,"['UC Riverside Highlanders', 'Cal State Northridge Matadors']"
401469828,"['Cal State Fullerton Titans', 'UC Santa Barbara Gauchos']"
401469829,"[""Hawai'i Rainbow Warriors"", 'Cal State Bakersfield Roadrunners']"
401469830,"['UC San Diego Tritons', 'UC Davis Aggies']"
401469831,"['UC Riverside Highlanders', ""Hawai'i Rainbow Warriors""]"
401469833,"['UC San Diego Tritons', 'UC Irvine Anteaters']"
401469834,"['Cal State Bakersfield Roadrunners', 'Cal State Northridge Matadors']"
401469835,"['Long Beach State Beach', 'UC Santa Barbara Gauchos']"
